job_title,employer_name,job_city,job_state,job_apply_link,job_description,is_easy_apply,platform,fetched_at,fit_score,fit_grade,fit_apply
"AI Software Engineer (Founding Team, Entry-Level/New Grad)",elomix,,,https://www.linkedin.com/jobs/view/4419341723,"About the job

About Elomix

We’re building advanced AI systems, automation platforms, and air-gap deployment infrastructure, working across the full modern AI stack — from LLM orchestration and agent systems to backend infrastructure and scalable deployment.

This is an early-stage founding role. You’ll help design and build core systems from the ground up, not just integrate APIs.




Responsibilities 

Build and ship production-grade AI applications and systems
Design scalable, testable architectures across the stack
Work with LLMs, agent frameworks, and orchestration systems
Develop backend services, APIs, and system pipelines
Build and optimize retrieval systems (RAG), memory, and tool usage
Debug complex system-level issues across multiple layers




Required Hardware

NVIDIA GPU with at least 10 GB VRAM
Ability to run local LLMs via Ollama, llama.cpp, or similar runtimes
CUDA-capable environment for basic model inference testing




Tech Stack

We operate across the modern AI ecosystem, including:

LLM APIs & Models (OpenAI, open-source models, etc.)
Agent & Orchestration Frameworks (LangChain, LangGraph, AutoGen, etc.)
Vector Databases & Retrieval (Pinecone, Weaviate, FAISS, etc.)
Backend & Infra (Python, FastAPI, Node.js, Docker)
Data & Pipelines (streaming, embeddings, indexing, evaluation)
Deployment & Scaling (cloud platforms, async systems, distributed services)




Required Skills

Strong experience in Python or backend/system development
Ability to design scalable, maintainable systems
Experience with APIs, distributed systems, or data pipelines
Interest in LLMs, agents, and AI system design
Self-driven and comfortable in an early-stage environment




Preferred Skills

Experience with RAG systems, embeddings, or vector search
Familiarity with LangChain, LangGraph, AutoGen, or similar tools
Experience deploying or scaling AI systems
A commited engineer who can juggle a founding role, and a full time job.
Built projects from 0 → 1




Compensation

3% equity (founding-level role), 1 year cliff, 4 year vest




How We Work

Small, fast-moving team
Meetings: 3x per week (evenings EST)
High ownership, minimal process, focus on shipping
Expected commitment: ~15 hours/week",True,LinkedIn,2026-05-28T21:59:52.877867,0,,False
Performance Engineer with SRE and cloud (AWS) Experience,Cyberobotix,,,https://www.linkedin.com/jobs/view/4419384206,"About the job

Role :- Performance Engineer with SRE and cloud (AWS) Experience

Location :- Remote (United states and Canada)

Job Type: Contract




Job Description :-

Role Summary

As a Performance Engineer, Site Reliability Engineering, you will:

Define performance, scalability, and reliability metrics aligned to business services (e.g., customer journeys, checkout, promotions, event‑driven sales, and holiday readiness).
Design, automate, and own the end‑to‑end performance testing strategy, including load, stress, spike, soak, and capacity testing.
Build and maintain capacity metrics and dashboards to support scaling decisions and cost optimization.
Create clear, actionable performance reports and summaries for technical and non‑technical stakeholders.
Leverage observability and monitoring platforms (e.g., Datadog, CloudWatch) to analyze system performance and identify bottlenecks.
Apply SRE metrics and frameworks such as availability, latency, saturation, DORA metrics, and service quality indicators.
Contribute to automation initiatives that reduce toil and enable proactive or self‑healing responses to performance issues.
Partner with engineering teams to identify performance risks early in the design and development phases.
Advocate for performance engineering best practices and help raise performance literacy across the organization.

THE QUALIFICATIONS

The Performance Engineer has:

Hands‑on experience with performance/load testing concepts and methodologies.
Solid understanding of Site Reliability Engineering fundamentals and principles.
Strong knowledge of core performance metrics, including identifying/testing latency, throughput, error rates, resource utilization, and threading.
Ability to write performance test plans, capacity models, and write detailed performance reports.
Experience participating in incident response and driving or contributing to incident reviews.
Proficiency in one or more programming or scripting languages (e.g., Python, Go, DOTNET).
Familiarity with APIs, distributed systems, and cloud‑native architectures.
Strong analytical thinking and problem‑solving skills.
Excellent communication and collaboration skills.

Nice to Haves

Experience with Infrastructure as code (IaC) tools (Terraform) is a plus
Experience with ‘Load Testing In Production’ is a plus
Experience with one or more load testing tools (e.g., k6, JMeter, Gatling, Locust).
Experience with Salesforce, Cloudflare, or edge/CDN performance considerations.",True,LinkedIn,2026-05-28T21:59:56.528895,0,,False
Snowflake Solutions Engineer,Robert Half,,,https://www.linkedin.com/jobs/view/4393553882,"About the job

Are you passionate about next-generation data engineering, AI, and modern cloud technologies? Our company is seeking an innovative and driven Snowflake Solutions Engineer to join our IT team in a fully remote capacity. In this role, you will lead the design and implementation of advanced Snowflake-native applications and AI-powered data solutions, creating measurable business impact utilizing Snowflake’s latest platform features. This is an exceptional opportunity to work at the forefront of data, leveraging Streamlit, Cortex AI, and emerging Snowflake technologies.

Key Responsibilities:

Snowflake Native Application Development (30%)

Design and build interactive data applications using Snowflake Streamlit to enable intuitive, self-service analytics and operational workflows for business users.
Develop reusable frameworks and component libraries for rapid application delivery.
Integrate Snowflake Native Apps and third-party marketplace applications to continuously extend platform capabilities.
Create custom UDFs and stored procedures to support advanced business logic.

Data Architecture and Modern Platform Design (30%)

Develop cutting-edge data architecture solutions spanning data warehousing, data lakes, and lakehouse approaches.
Implement medallion (bronze-silver-gold) patterns to maintain data quality and governance.
Recommend optimal architecture patterns for structured analytics, semi-structured data, and AI/ML workloads.
Establish best practices for data organization, storage optimization, and query performance.

AI & Advanced Analytics Collaboration (15%)

Partner with AI/data science teams to support and enhance Snowflake-based AI workloads.
Enable implementation of Snowflake Cortex AI features for practical business cases.
Guide data access and feature engineering for ML model requirements.
Contribute platform expertise to AI proof-of-concept initiatives.

Security, Governance, & Technical Leadership (15%)

Design and implement RBAC hierarchies, enforcing least privilege principles.
Define security best practices including network policies and encryption; implement row/column security and data masking.
Apply tag-based policies for advanced governance.
Monitor and optimize application performance, cost, and user experience.
Lead architectural discussions, create technical documentation, and share best practices.





Qualifications:

Education and Experience

Bachelor’s degree in Computer Science, Information Systems, Data Engineering, Data Science, or related field.
2+ years hands-on experience with advanced Snowflake features.
3+ years in data engineering or solutions architecture roles.
7–10 years overall in Data Architecture, Engineering, or Business Intelligence in multi-dimensional environments.
Proven history building data applications or analytical solutions for business users.

Technical Skills

Deep hands-on Snowflake platform expertise, including warehousing, lakes, and lakehouse.
Mastery of RBAC, Snowflake security, data masking, and governance.
Advanced skills with networking GIT tools, SnowDDL, automated deployment, and IaC.
Proficiency with Streamlit for interactive data apps.
Expert SQL and strong Python (Snowpark, data processing) programming skills.
Experience with data backup, disaster recovery, and retention strategies.

Preferred Qualifications

Snowflake certifications: SnowPro Core, Advanced Architect, or Data Engineer.
Hands-on work supporting AI/data science teams; understanding ML wor",True,LinkedIn,2026-05-28T22:00:00.206179,0,,False
System Engineer,Integrated Intel Solutions,,,https://www.linkedin.com/jobs/view/4420657683,"About the job

Company Description Integrated Intel Solutions (IIS) is a specialized provider of technical and engineering support for the integrated intelligence community. The company delivers mission-focused solutions in cloud engineering and integration, including AWS/C2S environments. IIS also supports systems and strategic engineering, enterprise architecture, data science, and machine learning initiatives. The team works on legacy system migrations, ICIE/ICITE services engineering, and provides program and financial expertise to help clients achieve operational and strategic goals. Applicants can expect to join a collaborative environment that supports complex national security missions.

Role Description This is a full-time, on-site System Engineer role based in Chantilly, VA. The System Engineer will design, implement, and maintain complex systems that support intelligence community missions, ensuring reliability, performance, and security. Daily responsibilities include analyzing system requirements, contributing to architecture and design, configuring systems, and coordinating integrations across multiple platforms. The role involves hands-on troubleshooting, root-cause analysis, and resolution of technical issues in collaboration with cross-functional engineering, operations, and security teams. The System Engineer will also support system administration tasks, develop and maintain documentation, and assist with upgrades, migrations, and continuous improvement initiatives in a highly regulated environment.

Qualifications

 

Strong systems engineering skills, including requirements analysis, systems design, integration, and lifecycle management.
Proficiency in system administration and technical support, including configuration, monitoring, and maintenance of enterprise systems.
Demonstrated troubleshooting abilities for complex, multi-tier environments, with experience performing root-cause analysis and implementing preventative measures.
Experience working in secure or regulated environments, preferably supporting government or intelligence community customers.
Familiarity with cloud-based infrastructures (e.g., AWS or similar) and modern DevOps or automation practices is beneficial.
Effective communication and documentation skills, with the ability to collaborate with multidisciplinary technical and non-technical stakeholders.
Bachelor’s degree in Systems Engineering, Computer Science, Information Technology, or a related field, or equivalent practical experience.
Relevant certifications (e.g., AWS, Linux, security, or systems engineering credentials) and active security clearance or eligibility are advantageous.",True,LinkedIn,2026-05-28T22:00:03.837164,0,,False
Full-stack Developer,"Southern Benefit Administrators, Incorporated",,,https://www.linkedin.com/jobs/view/4420615049,"About the job

Full Stack- Web/Mobile Developer/SQL

Position Summary

We are seeking a motivated IT professional with programming and web and mobile application development experience to join our team. This role will support internal systems, assist with software development, and help maintain and enhance our company’s web presence. The ideal candidate is detail-oriented, problem-solving, and comfortable working across both technical support and development tasks.

Key Responsibilities

Develop, maintain, and update company websites and web applications
Write, test, and troubleshoot code in one or more programming languages
Provide general IT support, including troubleshooting software issues
Assist with database management and system integrations
Collaborate with internal teams to improve workflows and system functionality
Ensure website performance, security, and responsiveness
Maintain documentation for systems, processes, and updates

Required Qualifications

Experience with at least one programming language (e.g., JavaScript, Python, C#, or similar)
Basic to intermediate knowledge of web development (HTML, CSS, JavaScript)
Basic to intermediate knowledge of mobile development
Understanding of website structure, hosting, and deployment
Strong problem-solving and analytical skills
Ability to manage multiple tasks and meet deadlines
Good communication skills

Preferred Qualifications

Experience with frameworks (e.g., React, Angular, or .NET)
Familiarity with SQL or other database systems
Knowledge of version control systems (e.g., Git)
Basic understanding of cybersecurity best practices

Education & Experience

Associate or Bachelor’s degree in Information Technology, Computer Science, or related field (or equivalent experience)
1–3 years of relevant experience preferred

Work Environment

Full-time position
On-site

Compensation

Competitive salary based on experience
Benefits package",True,LinkedIn,2026-05-28T22:00:07.468129,0,,False
Full Stack Engineer,Airflow Dynamics,,,https://www.linkedin.com/jobs/view/4420661534,"About the job

Company Description

Airflow Dynamics is a software and data systems company specializing in solutions for industrial HVAC and facility operations. The company develops advanced platforms for data monitoring, dashboards, and operational support tools to enhance visibility and decision-making. Airflow Dynamics helps industrial teams optimize analysis and streamline maintenance processes. Through innovative technology, the company enables businesses to achieve operational efficiency and reliability.




Role Description

This is a part-time hybrid role for a Full Stack Engineer located in Boston, MA. As a Full Stack Engineer, you will design, develop, and maintain both front-end and back-end components of applications. You will collaborate closely with cross-functional teams to deliver scalable software solutions, write clean and efficient code, and address any technical challenges. The engineer will also contribute to system architecture and ensure the performance, security, and scalability of the platforms.




Qualifications

Minimum 3 years of industry experience in software engineering.
Experience in Back-End Web Development, Software Development, and Full-Stack Development
Proficiency in Front-End Development, including working with HTML, JavaScript, and CSS
Strong understanding of software design principles and development best practices
Proven ability to collaborate in a team environment and solve complex technical challenges
Bachelor’s degree in Computer Science, Software Engineering, or a related field
Familiarity with cloud platforms and APIs is a plus
Experience with industrial systems or IoT is an advantage
Can start immediately",True,LinkedIn,2026-05-28T22:00:31.525667,0,,False
HR Data Analyst,VARITE INC,,,https://www.linkedin.com/jobs/view/4417693366,"About the job

VARITE is looking for a qualified Sales Recruiter for one of its clients in Atlanta, GA.




WHAT WE DO?

Established in the Year 2000, VARITE is an award-winning minority business enterprise providing global consulting & staffing services to Fortune 1000 companies and government agencies. With 850+ global consultants, VARITE is committed to delivering excellence to its customers by leveraging its global experience and expertise in providing comprehensive scientific, engineering, technical, and non-technical staff augmentation and talent acquisition services.




Job Details:

Title: Business Analyst, Associate

Location: Oakland, CA 94612 - assignment is hybrid. monthly meetings on-site at Oakland general office

Duration: 23 Months (2026-06-10 to 2028-05-12)




 WHAT THE CLIENT DOES?

 A major utility company that provides electricity and natural gas services to millions of customers. It operates a vast energy infrastructure, including power plants, transmission lines, and gas pipelines.




Description:

 

 TOP THINGS LOOKING FOR:

1) Strong technical aptitude, problem solving skills, soft skills and organizational skills.

 2) Continuous improvement experience/streamlining work processes.

 3) HR data analytics experience.

 

 TOP SKILL SET LOOKING FOR IN CANDIDATE RESUME:

1) Strong communication and interpersonal skills

 2) Data analytics

 3) Case management or customer service

 

 Job Responsibilities

• Supporting governance requirements for records.

 • Support daily operations through timely and accurate completion of standard work and case management.

 • Support continuous improvement and waste elimination projects.

 • Review current knowledge articles and update them to completion

 • Assist with tasks related to teams operational needs

 • Pulls data to populate standard reports. Presents data and findings to senior peers or internal clients including but not limited to case management.

 • Tracks existing metrics.

 • Learning to apply basic knowledge and develop professional skill set.

 • Assists other Business Analysts using established processes, practices and procedures as directed.

 • Communicates with peers inside and outside of the department, providing information or exchanging data.

 • Participates on project teams.

 

 Education Minimum

Bachelor of Science in Business, Finance, Economics, Engineering or related discipline or equivalent work experience required.

 

 Knowledge, Skills, and Abilities (Desired)

• Qualitative and quantitative analytical skills

 • Basic knowledge of fundamental analysis

 • Organizational and prioritization skills

 • Verbal and written communication skills

 • Adaptable to changing business conditions and ambiguity

 • Presentation skills to convey findings to varied audiences

 • Manage multiple assignments with demanding time constraints

 • Proficiency in Microsoft Office, Project, Visio or similar software

 

 Technical Competencies

• Proficient in Information Analysis, and Metrics and KPI Tracking

 • Novice in Market Research




 If this opportunity interests you, please respond by clicking on EasyApply.




Know someone who would be perfect for this role? Refer them to us and if they are hired, you could be eligible for our employee referral bonus! Help us grow our team with top talent from your network.




VARITE is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will rece",True,LinkedIn,2026-05-28T22:01:10.022982,0,,False
Data Scientist,Jobright.ai,,,https://www.linkedin.com/jobs/view/4419350830,"About the job

Jobright is your personal AI job search agent that transforms the job search process into a fast, expert-guided journey. They are seeking a Data Scientist to build and scale business-facing AI agents, managing the entire lifecycle from prototype to production.




Why Join Us




Your models will power AI agents used by real people navigating real career decisions
High degree of ownership over both research direction and production outcomes
Sit at the crossroads of applied ML, generative AI, and consumer product
Shape the data-driven intelligence behind a new kind of job search experience




Responsibilities




Build and deploy predictive models and machine learning algorithms that form the analytical backbone of our production AI agents
Run structured experiments on LLM prompting strategies, fine-tuning approaches, and RAG pipeline configurations to drive measurable improvements in agent quality
Conduct in-depth statistical analysis of user interaction data to surface behavioral patterns that inform feature development and product strategy
Track model health in production and provide hands-on technical support through key iteration and release cycles




Qualifications




Required




Recent grad or early-career professional (0–2 years) with a degree in Data Science, Computer Science, Statistics, or another quantitative discipline
Strong Python fundamentals and working proficiency with ML libraries such as PyTorch, TensorFlow, or Scikit-learn
Solid understanding of LLM architectures, prompt engineering principles, and generative AI evaluation techniques
Clear, confident communicator - able to walk both technical and non-technical collaborators through complex modeling decisions and findings
Must be based in and authorized to work in the United States




Preferred




Prior internship or research experience in NLP, autonomous agent development, or recommendation systems
Hands-on experience building data pipelines and working within cloud environments such as AWS, GCP, or Azure
Proficiency in SQL and database querying for efficient data extraction and feature engineering workflows",True,LinkedIn,2026-05-28T22:01:13.657112,0,,False
Data Analytics Consultant – Gaming Analytics,Blueprint,,,https://www.linkedin.com/jobs/view/4419348788,"About the job

Who is Blueprint?

We are a technology solutions firm headquartered in Bellevue, Washington, with a strong presence across the United States. Unified by a shared passion for solving complicated problems, our people are our greatest asset. We use technology as a tool to bridge the gap between strategy and execution, powered by the knowledge, skills, and the expertise of our teams, who all have unique perspectives and years of experience across multiple industries. We’re bold, smart, agile, and fun.

What does Blueprint do?

Blueprint helps organizations unlock value from existing assets by leveraging cutting-edge technology to create additional revenue streams and new lines of business. We connect strategy, business solutions, products, and services to transform and grow companies.

Why Blueprint?

At Blueprint, we believe in the power of possibility and are passionate about bringing it to life. Whether you join our bustling product division, our multifaceted services team or you want to grow your career in human resources, your ability to make an impact is amplified when you join one of our teams. You’ll focus on solving unique business problems while gaining hands-on experience with the world’s best technology. We believe in unique perspectives and build teams of people with diverse skillsets and backgrounds. At Blueprint, you’ll have the opportunity to work with multiple clients and teams, such as data science and product development, all while learning, growing, and developing new solutions. We guarantee you won’t find a better place to work and thrive than at Blueprint.




In This Role

In this role, you will support analytics initiatives for a high-impact gaming product by partnering closely with stakeholders, data teams, and cross-functional partners to turn business questions into clear, actionable insights. You will conduct analysis in Databricks, work with SQL and Python-based data workflows, build and maintain dashboards, and use AI-assisted development tools such as GitHub Copilot to improve efficiency and quality. This role is highly collaborative and requires someone who can work well with smart, technical teams while delivering high-quality analytics work on time.

Responsibilities

Meet with business and technical stakeholders to understand analytics needs, clarify requirements, and translate questions into data-driven insights.
Conduct data analysis using Databricks, SQL, and Python to support product, business, and operational decision-making.
Build, maintain, and enhance dashboards and reporting tools, preferably using Power BI.
Analyze product, user, engagement, or performance data to identify trends, opportunities, and actionable recommendations.
Collaborate with team members across analytics, engineering, and business functions to deliver high-quality data solutions.
Use AI-assisted development tools, such as GitHub Copilot, to support analytics, code development, and workflow efficiency.
Ensure work is delivered on time, meets quality standards, and aligns with stakeholder expectations.
Communicate findings clearly to technical and non-technical audiences.
Participate in a hybrid work arrangement to support collaboration, team alignment, and stakeholder engagement.

Required Qualifications

5+ years of experience in data analytics.
5+ years of experience with SQL.
2+ years of experience with dashboarding or business intelligence tools.
Hands-on experience conducting analysis in modern data platforms",True,LinkedIn,2026-05-28T22:01:17.301384,0,,False
Data Analyst (1146 - Charlotte),Sharp Decisions,,,https://www.linkedin.com/jobs/view/4420640141,"About the job

Position Details:
Job Title: Data Analyst
Location: Charlotte, North Carolina
Duration: 12+ Months – Contract

 Pay Rate: $50/hr - $52/hr


 Experience Level: 8+ Years (required)

 Industry: BFSI (Highly Preferred)

 Emp Type: W2 Candidates Only.


Job Description:

 We are seeking a skilled mid-level Data Analyst with 8–10 years of experience to support the Cyber Data Operations team within ISDAD. The ideal candidate will analyze and validate data from multiple upstream systems, create technical requirements, and support data integration into the Cyber Data Warehouse (CyberDW).



 This role requires strong expertise in SQL, Python, APIs, and Power BI visualization, along with the ability to collaborate with stakeholders and data teams in a fast-paced enterprise environment.


Key Responsibilities:
Gather, analyze, validate, and cleanse data from databases, APIs, spreadsheets, and internal systems. 
Work with stakeholders and development teams to understand data sources and business requirements. 
Create technical and functional data requirements and support data mapping activities. 
Develop SQL queries for data extraction, analysis, and reporting. 
Utilize Python for data analysis and automation tasks. 
Support API-based data integration and validation processes. 
Build dashboards and reports using Microsoft Power BI. 
Identify data quality issues, trends, and improvement opportunities. 
Collaborate with cross-functional teams to support enterprise data initiatives. 

Required Qualifications:
8–10 years of experience as a Data Analyst or in a similar analytics-focused role. 
Strong hands-on experience with SQL and relational databases. 
Strong proficiency in Python for data analysis, scripting, and automation. 
Experience working with APIs, including data extraction, integration, and validation. 
Strong experience building dashboards and visualizations using Microsoft Power BI. 
Advanced proficiency in Microsoft Excel and data analysis techniques. 
Strong understanding of data validation, data mapping, data transformation, and data quality processes. 
Experience gathering business requirements and translating them into technical specifications. 
Excellent analytical, problem-solving, and organizational skills. 
Strong communication skills with the ability to work effectively across business and technical teams. 
Strong attention to detail and ability to interpret data within a business and operational context. 

Preferred Qualifications:
Experience with cybersecurity, enterprise data warehouse, or data operations environments. 
Familiarity with Agile methodologies and tools like Tableau is a plus.",True,LinkedIn,2026-05-28T22:01:24.562211,0,,False
